srcStateName,Class Studying,Schools surveyed,srcDistrictName,Students surveyed,srcYear,Average performance of students on learning outcome E302 EVS,Average performance of students on learning outcome E303 EVS,Average performance of students on learning outcome E304 EVS,Average performance of students on learning outcome E305 EVS,Average performance of students on learning outcome E307 EVS,Average performance of students on learning outcome E309 EVS,Average performance of students on learning outcome E310 EVS,Average performance of students on learning outcome E311 EVS,Average performance of students on learning outcome E313 EVS,Average performance of students on learning outcome E314 EVS,Average performance of students on learning outcome L304 Language,Average performance of students on learning outcome L312 Language,Average performance of students on learning outcome M301 Mathematics,Average performance of students on learning outcome M302 Mathematics,Average performance of students on learning outcome M303 Mathematics,Average performance of students on learning outcome M304 Mathematics,Average performance of students on learning outcome M305 Mathematics,Average performance of students on learning outcome M306 Mathematics,Average performance of students on learning outcome M309 Mathematics,Average performance of students on learning outcome M311 Mathematics,Average performance of students on learning outcome M312 Mathematics,Average performance of students on learning outcome M317 Mathematics,Average performance of students on learning outcome M318 Mathematics,Average performance of students on learning outcome M319 Mathematics,YearCode,Year
Haryana,3,27,Kaithal,687,2021,59.12,47.5,64.47,54.52,62.6,70.49,67.95,52.18,41.57,61.96,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Haryana,3,30,Karnal,749,2021,50.86,39.28,57.37,43.72,53.09,64.25,58.26,41.62,37.99,52.24,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Haryana,3,32,Kurukshetra,692,2021,52.78,40.26,55.97,46.44,56.43,67.74,61.03,44.86,39.02,54.82,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Haryana,3,36,Mahendragarh,693,2021,53.54,34.59,53.88,43.06,53.09,65.83,55,43.08,35.84,52.69,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Haryana,3,26,Nuh,707,2021,55.61,48.47,56.61,54.68,60.49,56.77,65.03,51.75,37.94,60.67,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Haryana,3,27,Palwal,687,2021,57.16,43.59,57.42,49.29,56.81,62.25,58.71,49.74,42,59.25,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Haryana,3,30,Panchkula,732,2021,55.2,41.23,57.25,47.08,58.41,67.1,62.21,47.11,40.41,55.88,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Haryana,3,27,Panipat,728,2021,54.92,43.08,66.91,47.81,58.76,72.97,63.37,54.75,44.65,64.44,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Haryana,3,35,Rewari,785,2021,55.98,52.64,62.65,53.19,63.89,69.32,72.68,48.93,51.3,61.34,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Haryana,3,28,Rohtak,619,2021,62.39,60.18,70.31,59.86,68.89,76.77,68.81,60.5,48.3,66.26,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Haryana,3,28,Sirsa,682,2021,49.4,40.61,58.65,43.19,54.92,62.21,60.01,47.34,38.64,52.91,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Haryana,3,30,Sonipat,731,2021,58.08,50.47,64.51,54.15,61.47,70.18,68.04,54.27,43.71,60.39,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Haryana,3,29,Yamunanagar,681,2021,52.63,44.89,62.12,49.3,58.43,63.31,63.55,49.23,40.5,59.1,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Himachal Pradesh,3,50,Bilaspur (H.P.),594,2021,63.76,54.76,72.15,54.84,65.05,69,70.19,49.38,43.65,63.58,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Himachal Pradesh,3,54,Chamba,701,2021,51.46,45.86,57.83,44.58,57.41,56.81,57.52,38.05,34.63,51.66,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Himachal Pradesh,3,43,Hamirpur (H.P.),648,2021,52.98,44.44,55.45,40.78,53.8,56.63,57.07,42.82,35.73,49.79,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Himachal Pradesh,3,54,Kangra,778,2021,62.45,49.59,64.48,50.87,59.68,63.79,64.79,49.17,42.37,60.35,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Himachal Pradesh,3,34,Kinnaur,366,2021,57.36,44.29,67.04,42.77,54.65,66.67,62.65,47.72,41.27,58.25,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Himachal Pradesh,3,45,Kullu,507,2021,62.76,58.22,67.77,53.64,68.29,64.23,70.01,48.75,44.47,64.39,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Himachal Pradesh,3,10,Lahul & Spiti,123,2021,64.27,62.5,75.79,51.14,58.87,66.54,71.98,55.36,56.04,60.53,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Himachal Pradesh,3,55,Mandi,703,2021,63.85,51.78,68.3,57.73,63.61,70.88,70.03,48.49,39.95,64.82,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Himachal Pradesh,3,50,Shimla,673,2021,61.26,51.47,64.36,53.18,61.32,74.25,70.96,49.18,46.27,72.22,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Himachal Pradesh,3,45,Sirmaur,665,2021,60.31,46.03,64.69,49.51,64.92,64.44,64.9,45.87,39.26,65,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Himachal Pradesh,3,35,Solan,655,2021,59.1,49.57,63.65,47.53,62.06,62.39,58.31,46.82,42.48,57.98,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Himachal Pradesh,3,37,Una,590,2021,64.02,54.58,65.55,54.75,61.47,66.99,65.57,48.52,42.04,64.2,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Gujarat,3,61,Ahmedabad,1443,2017,52.6,62.34,67.94,69.27,72.32,55.72,64.59,51.91,37.66,77.41,,,,,,,,,,,,,,,2017,"Calendar Year (Jan - Dec), 2017"
Jammu & Kashmir,3,46,Anantnag,584,2021,75.19,60.65,77.23,66.95,67.51,79.09,81.73,56.52,56.6,71.59,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,50,Badgam,627,2021,62,48.79,65.91,56.15,63.4,74.55,74.3,46.32,42.24,62.61,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,43,Bandipora,553,2021,64.64,47.53,64.68,56.55,60.24,67.45,74.08,53.13,39.58,62.3,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,50,Baramula,660,2021,68.95,57.14,66.56,55.82,65.5,74.89,75.79,45.38,51.66,66.81,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,51,Doda,651,2021,64.01,45.95,62.99,52.15,61.63,64.74,66.61,48.35,39.57,58.41,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,40,Ganderbal,553,2021,70.13,52.33,65.25,61.41,65.79,75.89,75,54.27,55.39,69.65,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,53,Jammu,873,2021,70.76,51.49,73.01,60.6,72.41,75.82,75.25,56.24,50.7,72.23,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,48,Kathua,603,2021,54.44,35.54,58.42,47.92,58.01,62.92,64.17,44.49,36.23,55.09,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,46,Kishtwar,538,2021,64.51,43.91,61.99,57.22,53.96,61.05,68.37,51.44,36.67,54.9,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,49,Kulgam,661,2021,62.8,41.61,63.53,56.51,60.7,72.63,73.1,50.55,43.95,60.27,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,48,Kupwara,728,2021,60.75,46.98,61.58,53.86,61.11,60.96,71.16,46.94,37.92,57.12,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,46,Pulwama,900,2021,75.56,68.15,80.65,72.66,73.02,79.68,86.52,63.03,59.36,81.73,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,47,Punch,526,2021,63.92,40.3,62.38,53.91,60.26,65.3,68.86,48.32,38.25,62.84,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,47,Rajauri,619,2021,52.18,41.84,52.91,48.61,50.59,55.55,62.71,39.4,33.02,43.84,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,48,Ramban,564,2021,67.27,46.79,65.51,56.25,60.07,61.71,69.36,47.25,35.95,58.33,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,45,Reasi,502,2021,58.31,36.65,56.96,49.32,46.95,60.69,63.6,42.15,37.07,49.95,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,35,Samba,475,2021,66.38,57.34,69.27,58.68,59.97,72.48,71.05,53.1,47.95,65.11,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,40,Shopian,546,2021,69.64,57.49,70.85,67.16,67.67,77.7,75.62,57.72,49.32,68.25,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,42,Srinagar,551,2021,75.84,63.28,79.93,69.04,75.7,84.85,85.93,58.94,57.34,79.64,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Andhra Pradesh,3,41,Srikakulam,629,2021,,,,,,,,,,,51.64,48.18,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jammu & Kashmir,3,47,Udhampur,590,2021,68.08,45.49,66.28,51.87,62,66.36,65.33,50.18,40.19,59.2,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,40,Bokaro,857,2021,63.92,47.43,63.23,52.42,62.61,66.57,64.41,48,41.54,58.59,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,33,Chatra,582,2021,53.72,47.58,58.65,50.27,58.46,55.19,59.43,46.23,35.58,55.86,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,38,Deoghar,656,2021,62.26,51.82,65.74,56.66,63.08,57.87,65.48,51.33,40.82,61.95,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,43,Dhanbad,890,2021,60.22,47.36,60.73,50.87,60.75,64.49,61.13,51.84,40.82,58.25,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,56,Dumka,888,2021,61.28,49.42,57.31,54.77,64.15,58.15,60.8,50.1,35.8,55.82,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,37,Garhwa,672,2021,54.06,47.93,58.1,50.45,59.62,59.89,64.34,48.14,35.67,54.36,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,44,Giridih,846,2021,63.73,55.67,69.63,62.43,68.44,65.08,69.01,58.98,48.71,70.81,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,39,Godda,774,2021,58.43,47.22,53.51,55.41,56.51,53.62,63.03,49.34,42.47,58.46,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,47,Gumla,890,2021,56.26,47.12,58.87,54.21,63.24,58.26,57.42,47.24,39.02,58.88,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,52,Hazaribag,970,2021,56.8,48.08,64.37,53,62.98,56.91,61.67,47.38,39.16,60.05,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,34,Jamtara,586,2021,51.32,41.15,49.85,46.23,47.48,47.13,48.17,39.06,32.49,41.37,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,48,Khunti,759,2021,64.04,48.68,63.28,56.59,63.94,60.39,65.84,56.43,44.13,59.65,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,37,Kodarma,678,2021,56.04,50.34,55,50.39,57.04,61.26,60.79,47.9,36.12,56.2,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,33,Latehar,583,2021,54.33,48.03,51.65,49.2,54.52,56.79,58.54,43.86,33.02,48.68,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,37,Lohardaga,732,2021,57.48,49.22,60.29,53.42,67.3,66.99,59.62,53.53,37.45,59.15,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,32,Pakaur,720,2021,66.91,57.5,63.24,56.94,67.97,65.19,73.38,59.04,46.12,61.79,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,38,Palamu,664,2021,52.72,49.38,54.52,46.23,57.59,56.47,59.31,40.69,34.11,51.94,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,44,Pashchimi Singhbhum,1133,2021,59.15,46.7,61.29,54.37,63.65,61.39,63.49,50.51,40.84,60.27,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,51,Purbi Singhbhum,1075,2021,59.71,43.36,64.15,54.16,63.6,67.09,65.8,48.12,40.84,62.39,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,38,Ramgarh,835,2021,49.1,35.88,53.05,46.77,48.87,54.93,55.1,37.7,35.2,52.79,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,55,Ranchi,1163,2021,57.7,48.07,64.75,52.51,60.79,61.74,61.82,45.32,42.4,59.93,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,32,Sahibganj,702,2021,53.7,43.1,51.21,45.48,48.29,48.12,57.28,46.91,32.54,46.75,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Assam,3,36,West Karbi Anglong,684,2021,,,,,,,,,,,56.99,51.89,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,37,Saraikela-Kharsawan,680,2021,54.55,44.38,59.6,53.67,60.01,61.29,57.5,48.85,41.32,58.89,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Jharkhand,3,46,Simdega,662,2021,61.86,46.98,57.93,57.43,68.46,58.58,68.26,55.23,40.07,61.23,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,42,Bagalkot,988,2021,78.3,71.34,79.75,61.95,76.06,82.32,83.88,66.96,59.67,80.79,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,42,Ballari,1011,2021,68.38,58.62,72.73,58.87,68.11,66.03,72.73,56.57,40.96,68.1,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,41,Belagavi,1079,2021,53.74,43.18,56.87,39.56,55.99,60.14,59.5,45.99,35.85,54.95,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,43,Belagavi Chikkodi,1107,2021,78.39,69.24,74.23,60.19,79.08,80.89,78.83,67.05,53.19,78.37,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,49,Bengaluru Rural,870,2021,63.89,50.62,60.91,53.41,59.39,65.61,65.02,50.67,40.83,56.33,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,51,Bengaluru U North,1181,2021,61.52,48.04,58.15,50.14,59.06,61.91,61.35,47.86,39.65,57.68,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,45,Bengaluru U South,1018,2021,68.16,55.53,68.84,58.94,66.94,71.79,69.28,54.52,47.7,68.3,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,48,Bidar,950,2021,59.9,51.24,58.47,47.89,61.09,63.06,68.64,49.52,36.08,57.7,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,49,Chamarajanagara,923,2021,66.28,53.19,67.49,54.81,64.08,66.49,66.71,53.17,42.82,65.68,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,55,Chikkaballapura,890,2021,52.02,40.02,53.64,40.92,53.36,57.13,56,41,33.01,49.98,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,53,Chikkamangaluru,834,2021,72.32,60.56,75.13,59.89,65.22,66.65,72.58,58.98,49.75,68.59,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Andhra Pradesh,3,58,Visakhapatnam,1303,2021,,,,,,,,,,,63.37,58.92,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,49,Chitradurga,995,2021,64.62,50.43,61.04,52.78,59.58,63.69,63.93,50.85,42.06,58.59,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,54,Dakshina Kannada,1177,2021,70.26,57.28,71.93,52.37,67.56,74.16,73.16,55.83,49.22,71.4,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,52,Davanagere,1036,2021,61.24,45.87,66.4,52,62.65,64.06,65.86,53.96,42.34,61.14,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,43,Dharwad,1105,2021,63.79,48.6,57.63,50.42,58.32,64.92,66.5,53.66,41.77,62.09,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,38,Gadag,914,2021,56.27,45.51,55.48,42.49,55.51,55.22,55.18,45.03,34.46,57.84,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,56,Hassan,960,2021,67.81,46.1,71.87,56.87,62.53,71.62,59.53,55.19,43.44,63.86,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,45,Haveri,1047,2021,64.35,50.37,64.07,50.46,58.21,62.44,66.17,52.64,44.86,61.74,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,45,Kalburgi,1014,2021,61.85,55.53,64.99,44.3,56.3,60.83,64.69,48.95,35.79,59.27,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,46,Kodagu,754,2021,65.22,49.44,64.02,50.71,65.11,63.47,61.18,55.06,42.02,62.99,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,60,Kolar,999,2021,58.69,39.78,57.25,43.35,55.35,57.44,57.9,48.22,33.63,53.04,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,38,Koppal,987,2021,70.18,55.92,70.15,60.3,68.07,66.76,68.41,55.55,46.41,68.8,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,57,Mandya,1060,2021,61.32,44.6,61.7,50.52,58.2,64.65,62.76,52.59,42.29,58.59,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,59,Mysuru,1230,2021,56.89,47.56,58.58,45.53,58.76,63.07,61.51,46.44,35.48,52.58,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,42,Raichur,994,2021,72.34,56.61,67.89,56.81,66.27,68.37,73.9,58.73,44.89,73.31,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,54,Ramanagara,980,2021,60.77,47.38,63.3,50.47,58.17,63.6,62.27,48.54,37.96,59.46,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,57,Shivamogga,1056,2021,51.78,43.64,51.43,39.61,50.77,54.91,54,41.95,36.04,49.83,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,55,Tumakuru,1076,2021,67.91,50.04,68.67,60.85,66.46,71.47,74.45,61.46,48.37,71.87,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,52,Tumakuru Madhugiri,798,2021,62.86,43.68,61.96,50.81,60.1,66.51,64.76,49.63,36.96,60.48,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,53,Udupi,962,2021,64.62,52.48,69.96,52.46,68.19,73.39,68.45,52.47,41.29,63.76,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,56,Uttara Kannada,872,2021,69.03,55.95,69.16,53.29,68.16,74.73,72.01,58.27,45.14,64.25,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,43,Uttara Kannada Sirsi,866,2021,75.88,65.66,74.13,62.54,71.01,77.62,76.89,62.16,52.15,75.7,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,44,Vijayapura,998,2021,65.94,52.08,64.86,51.67,63.02,64.67,69.42,50.72,37.24,59.9,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Karnataka,3,37,Yadagiri,785,2021,57.83,47.3,57.31,48.67,53.01,55.46,59.74,45.78,28.14,50.72,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,3,40,Alappuzha,902,2021,66.61,51.73,71.12,53.13,68.16,76.86,67.05,59.64,42.04,63.09,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,3,45,Ernakulam,1076,2021,77.56,61,78.17,63.17,75.59,82.18,78.01,62.17,52.01,75.44,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,3,40,Idukki,759,2021,69.88,57.17,74.16,55.95,66.33,75.18,74.85,57.6,40.2,67.82,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,3,45,Kannur,1060,2021,64.76,52.68,66.22,48.17,63.44,76.06,64.82,52.1,38.72,60.91,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,3,42,Kasaragod,1052,2021,61.8,48.48,64.71,50.53,63.25,70.15,66.61,51.91,39.25,57.75,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,3,40,Kollam,946,2021,76.36,58.95,79.32,64.79,72.69,82.1,79.28,68.21,52.45,75.34,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,3,48,Kottayam,1011,2021,76.8,58.42,74.19,62.6,73.12,81.41,76.25,63.66,47.31,71.44,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,3,41,Kozhikode,966,2021,59.5,43.14,61.98,43.75,62.01,70.98,64.27,49.71,33.64,57.19,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,3,37,Malappuram,998,2021,72.94,61.23,79.98,61.25,68.8,78.24,76.94,65.16,46.8,70.21,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,3,40,Palakkad,980,2021,72.95,54.39,72.25,58.83,68.54,77.12,75.73,60.06,42.08,68.56,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,3,53,Pathanamthitta,885,2021,65.67,56.55,72.16,55.02,69.18,74.68,72.46,58.46,42.26,67.63,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,3,45,Thiruvananthapuram,1096,2021,74.99,59.42,76.43,64.56,71.85,80.23,74.17,65.45,51.41,69.78,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,3,38,Thrissur,817,2021,73.28,58.46,72.73,58.26,71.82,79.58,75.1,63.15,41.62,69.95,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Kerala,3,36,Wayanad,879,2021,55.18,38.97,55.7,37.79,50.28,55.04,53.4,45.38,30.55,42.57,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Ladakh,3,35,Kargil,397,2021,52.64,33.72,57.56,43.92,50.03,56.98,59.08,43.83,33.24,47.35,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Ladakh,3,26,Leh (Ladakh),337,2021,57.05,39.5,62.26,52.67,63.14,74.84,62.64,46.02,37.61,57.97,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Lakshadweep,3,12,Lakshadweep,313,2021,62.24,46.1,62.33,51.77,62.34,71.26,63.28,54.18,42.52,56.39,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Madhya Pradesh,3,44,Agar Malwa,649,2021,65.88,54.4,63.16,50.14,66.44,63.06,69.15,54.91,41.31,63.8,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Madhya Pradesh,3,46,Alirajpur,708,2021,55.86,45.28,58.83,44.92,59.27,54.74,63.75,46.5,35.33,58.33,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Madhya Pradesh,3,50,Anuppur,661,2021,59.69,51.75,63.43,51.82,65.33,68.29,67.71,59.93,46.21,65.99,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Madhya Pradesh,3,40,Ashoknagar,649,2021,59.21,51.92,65.17,54.24,65.6,68.99,73.2,54.01,39.51,66.24,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Madhya Pradesh,3,46,Balaghat,740,2021,64.21,56.8,70.4,57.24,71.19,69.49,69.9,61.86,44.22,69.01,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Madhya Pradesh,3,51,Barwani,739,2021,63.73,51.18,68.3,53.64,71.16,71.35,73.16,56.91,43.89,69.76,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Madhya Pradesh,3,47,Betul,895,2021,65.92,52.4,68.34,52.39,72.39,67.42,70.63,57.7,43.52,67.21,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Madhya Pradesh,3,55,Bhind,798,2021,72.32,67.15,78.8,58.42,77.99,78.5,86.62,71.84,57.34,79.8,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Madhya Pradesh,3,45,Bhopal,873,2021,65.05,46.42,66.37,55.25,66.25,69.5,71.93,62.56,50,66.17,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
Madhya Pradesh,3,33,Burhanpur,765,2021,65.04,50.46,64.37,55.59,66.68,73.12,68.19,54.2,40.88,64.86,,,,,,,,,,,,,,,2021,"Calendar Year (Jan - Dec), 2021"
